genes,logFC.genotypenpr1.1,logFC.genotypenpr1.1.treatmentuntreated,logCPM,LR,PValue,FDR,AGI,symbol2,full_name
AT3G28510.1,-3.4086778513784117,3.3175171634283114,3.358173869994249,369.22889025136925,6.6521985352446015e-81,4.1388993775397804e-78,AT3G28510,NA,NA
AT1G29920.1,5.432571632362395,-3.0411571896882243,8.057240583550717,364.9812592355879,5.563224141326451e-80,3.3377357982193944e-77,AT1G29920,AB165;CAB2;LHCB1.1,NA;chlorophyll A/B-binding protein 2;LIGHT HARVESTING CHLOROPHYLL A/B-BINDING PROTEIN 1.1
AT1G29910.1,3.1304675914350177,-1.4080206123692034,10.06299509450492,362.90498539909584,1.5710271592243534e-79,9.100581119934451e-77,AT1G29910,AB180;CAB3;LHCB1.2,NA;chlorophyll A/B binding protein 3;LIGHT HARVESTING CHLOROPHYLL A/B BINDING PROTEIN 1.2
AT3G21720.1,-2.4617096089360526,-0.23789765999745266,3.7240828602909275,362.7224378332792,1.7211685159387148e-79,9.637969966418158e-77,AT3G21720,ICL,isocitrate lyase
AT1G68050.1,1.9093734156332587,-0.8165976960868948,4.873226340377855,358.3090991853757,1.563751373049292e-78,8.474019134146792e-76,AT1G68050,ADO3;FKF1,"NA;flavin-binding, kelch repeat, f box 1"
AT5G28335.1,4.002224565835293,-0.11040337099672896,2.35618825884476,358.0884295450092,1.7461659191122506e-78,9.166825398489593e-76,AT5G28335,NA,NA
AT4G24110.1,-2.200214946812435,-0.852090749775871,4.569308954238705,351.41939240197223,4.900591732476665e-77,2.4946981973901667e-74,AT4G24110,NA,NA
AT2G40750.1,-3.629394843901842,2.452571097689389,5.543242533367053,348.8076758659537,1.8087375840719083e-76,8.936759610242349e-74,AT2G40750,ATWRKY54;WRKY54,WRKY DNA-BINDING PROTEIN 54;WRKY DNA-binding protein 54
AT1G63980.1,-1.3549416476506544,-0.330765376877539,6.386770311931132,347.95282064260454,2.77335213681949e-76,1.3311297870408746e-73,AT1G63980,NA,NA
AT1G53480.1,-6.407645390771152,1.4689355316549813,1.9982077833309222,342.8979601420906,3.472594133325854e-75,1.6204474679372507e-72,AT1G53480,ATMRD1;MRD1,ARABIDOPSIS MTO 1 RESPONDING DOWN 1;MTO 1 RESPONDING DOWN 1
AT2G46440.1,-1.5287913934304052,-0.06244189890020518,5.869546493198185,337.37774108075564,5.4872451816733075e-74,2.4913576164035105e-71,AT2G46440,ATCNGC11;CNGC11,cyclic nucleotide-gated channel 11;CYCLIC NUCLEOTIDE-GATED CHANNEL 11
AT3G22231.1,-5.329915150023969,1.3814819670877654,8.301844791307515,336.19175890755605,9.9285796123578885e-74,4.389216023894741e-71,AT3G22231,PCC1,PATHOGEN AND CIRCADIAN CONTROLLED 1
AT2G24600.3,-0.6668011440758258,-2.2042208608955254,6.260418785564685,333.05804204859703,4.757349875072865e-73,2.049197962855104e-70,AT2G24600,NA,NA
AT5G28370.1,-7.190225085397016,-2.2584736777863728,1.5922158529117443,332.08563718445487,7.736065278089334e-73,3.248954015165568e-70,AT5G28370,NA,NA
AT3G27690.1,3.5220753615251,-1.6417547772081833,5.6057061410081674,322.07125835652016,1.1564180401692809e-70,4.738211379708232e-68,AT3G27690,LHCB2;LHCB2.3;LHCB2.4,LIGHT-HARVESTING CHLOROPHYLL B-BINDING 2;photosystem II light harvesting complex gene 2.3;NA
AT5G24530.1,-2.78352529878281,2.586243405005431,6.700971096009944,312.9651638567898,1.0976860741052984e-68,4.3904829425940257e-66,AT5G24530,AtDMR6;DMR6,NA;DOWNY MILDEW RESISTANT 6
AT2G41100.1,-0.7682924670735898,-2.3066946929366416,8.893559947928676,310.62022997456035,3.5454721415311788e-68,1.3851252675716808e-65,AT2G41100,ATCAL4;CML12;TCH3,ARABIDOPSIS THALIANA CALMODULIN LIKE 4;calmodulin-like 12;TOUCH 3
AT1G24147.1,-2.439381816392445,0.5155301331642592,4.019040073253014,307.63951620871694,1.57372138927446e-67,6.008396731459467e-65,AT1G24147,NA,NA
AT5G10760.1,-3.7443715444351855,2.6730496765043132,4.574939636496311,302.6558221346292,1.9016179383120488e-66,7.098951054600914e-64,AT5G10760,AED1,"APOPLASTIC, EDS1-DEPENDENT 1"
AT2G20560.1,-3.7978376697693648,3.5263996177164403,5.118193833145186,291.3053848436921,5.5442066170060625e-64,2.0247201512844533e-61,AT2G20560,NA,NA
AT5G51440.1,-4.630191695674542,3.765950256509957,5.343750862125256,290.2575217782092,9.362244535229991e-64,3.3463052329218855e-61,AT5G51440,NA,NA
AT5G66985.1,-2.161222209683468,-0.3829851907238478,5.234956891332661,289.68634373782146,1.2456892481658401e-63,4.359652849987073e-61,AT5G66985,NA,NA
AT3G54890.1,2.5600663524675205,-1.2327468061115878,10.48212121056674,288.85194399092165,1.8905898364545805e-63,6.481636461755204e-61,AT3G54890,LHCA1,photosystem I light harvesting complex gene 1
AT1G14880.1,-5.233994847674015,4.322124921919334,3.3438561772849407,283.95833248539356,2.183894002244568e-62,7.3374470687413e-60,AT1G14880,AtPCR1;PCR1,NA;PLANT CADMIUM RESISTANCE 1
AT3G08970.1,-3.718513256987024,3.387008530178151,3.391725462328038,279.87396380559,1.68322024275712e-61,5.5443954623680114e-59,AT3G08970,ATERDJ3A;TMS1,NA;THERMOSENSITIVE MALE STERILE 1
AT5G02490.1,-2.83638698458943,3.1591857076072447,7.139228822124517,277.8857772789376,4.548520581499643e-61,1.4694345624733174e-58,AT5G02490,AtHsp70-2;Hsp70-2,NA;NA
AT4G12400.2,-4.678991140750122,3.914301957399164,6.658811372132689,276.13413056706736,1.0920321257872408e-60,3.4613297511509166e-58,AT4G12400,Hop3,Hop3
AT3G47470.1,2.8809490470651036,-1.6939289575338146,9.996015678681939,271.69332161391077,1.005876881198389e-59,3.1292084680095816e-57,AT3G47470,CAB4;LHCA4,NA;light-harvesting chlorophyll-protein complex I subunit A4
AT4G23220.1,-1.8967456836246406,-0.05382022437497864,5.3896567179812305,271.1749567703512,1.303485853297749e-59,3.98131979082707e-57,AT4G23220,CRK14,cysteine-rich RLK (RECEPTOR-like protein kinase) 14
AT2G26150.1,-5.186902761422365,5.154475164758618,5.468707048940505,269.1434071574848,3.5995790494122257e-59,1.0798094366263567e-56,AT2G26150,ATHSFA2;HSFA2,heat shock transcription factor A2;heat shock transcription factor A2
AT2G29500.1,-4.5974365712973295,4.800756326703826,4.535582926351272,268.91072955337,4.0436821896980236e-59,1.1917511772760893e-56,AT2G29500,NA,NA
AT3G14620.1,-2.4212095703991814,1.2347249165983805,6.365410753308137,266.9142988387401,1.097226875369003e-58,3.1779852205730823e-56,AT3G14620,CYP72A8,"""cytochrome P450, family 72, subfamily A, polypeptide 8"""
AT5G10695.1,-2.2069499402615462,1.2872432119041646,3.5654849725605913,261.92218098051757,1.331438331847174e-57,3.790988565542488e-55,AT5G10695,NA,NA
AT5G35940.1,-2.8356542981523307,-0.2183344222509863,2.8425889083749647,260.69962193978034,2.4535582816773926e-57,6.86955426231642e-55,AT5G35940,NA,NA
AT1G76040.2,-1.8711036054660857,1.4343270199862772,5.799819903199906,260.2098944889121,3.1342912005843205e-57,8.631632439117377e-55,AT1G76040,CPK29,calcium-dependent protein kinase 29
AT5G52810.1,-2.12865754204952,1.4352821387578727,5.156544121278467,259.7299600059453,3.9843345025768096e-57,1.0795618598191584e-54,AT5G52810,SARD4,SAR DEFICIENT 4
AT4G03450.1,-3.9038831078219536,1.8203776799165277,3.0217723970726653,259.66187475096643,4.1223068642687554e-57,1.0992163970293782e-54,AT4G03450,NA,NA
AT5G55450.1,-2.1662780658597933,1.1039295975611365,5.193509342395149,255.5223349164817,3.2661037130763975e-56,8.573011918120375e-54,AT5G55450,AtLTP4.4,"NA"
AT4G23570.3,-2.0771485566425825,1.7154361711702795,6.698504979506346,253.42712544462714,9.311055758593219e-56,2.4064065490554995e-53,AT4G23570,SGT1A,"NA"
AT5G60900.1,-3.094946327493566,1.813989387884497,2.7776358513579535,252.7722855375314,1.2918009705175398e-55,3.2880249248066893e-53,AT5G60900,RLK1,receptor-like protein kinase 1
AT3G23120.1,-4.540921280983171,2.2341026645939057,3.6312404772883338,249.36812697862518,7.085968955711316e-55,1.7766745147312595e-52,AT3G23120,AtRLP38;RLP38,receptor like protein 38;receptor like protein 38
AT1G65790.1,-2.993803460021261,1.2937084231331937,3.43903649876458,244.92628547305284,6.530296089082562e-54,1.6132712353014404e-51,AT1G65790,ARK1;RK1,receptor kinase 1;receptor kinase 1
AT3G47500.1,1.5945095595098657,1.151556486277426,4.309407897074974,242.25166832943955,2.487245228159023e-53,6.055540954759917e-51,AT3G47500,CDF3,cycling DOF factor 3
AT5G38005.1,3.4024149911549064,-0.5114807186818849,2.588554065237859,240.09913214277427,7.296858093073107e-53,1.7511417015076446e-50,AT5G38005,NA,NA
AT3G56400.1,-3.1682791107607375,1.1018498116134645,6.971963561997681,237.78328671459462,2.3228188702188556e-52,5.495920309972754e-50,AT3G56400,ATWRKY70;WRKY70,ARABIDOPSIS THALIANA WRKY DNA-BINDING PROTEIN 70;WRKY DNA-binding protein 70
AT2G44290.1,-2.0367872125859954,0.7196273688179349,4.890446759989388,232.27477107343225,3.6490038260729974e-51,8.427352218547986e-49,AT2G44290,NA,NA
AT2G34420.1,2.875603465910257,-1.6603979542417706,10.643944692819538,232.2676042460389,3.662103172534097e-51,8.427352218547986e-49,AT2G34420,LHB1B2;LHCB1.5,photosystem II light harvesting complex gene B1B2;PHOTOSYSTEM II LIGHT HARVESTING COMPLEX GENE 1.5
AT1G14200.1,-2.8263197986507516,2.0387242190632096,4.570697269377344,231.53229570755886,5.2893316139455047e-51,1.2007497538198721e-48,AT1G14200,NA,NA
AT2G29120.1,-2.0295025204483172,1.6276852502353372,5.287621395866203,230.85815031428052,7.409512039765407e-51,1.6596319034135876e-48,AT2G29120,ATGLR2.7;GLR2.7;GLR2.7,glutamate receptor 2.7;GLUTAMATE RECEPTOR  2.7;glutamate receptor 2.7
AT3G27220.1,-1.4502324927949974,-0.6445443668844586,4.893361400766065,227.58550086101974,3.8057162744880024e-50,8.412135223042625e-48,AT3G27220,NA,NA
AT2G47520.1,-3.6679884560318348,0.7341670457143608,1.9771065005242041,225.56593065654323,1.0446733245270868e-49,2.2791515816533156e-47,AT2G47520,AtERF71;ERF71;HRE2,Arabidopsis thaliana ethylene response factor 71;ethylene response factor 71;HYPOXIA RESPONSIVE ERF (ETHYLENE RESPONSE FACTOR) 2
AT4G13510.1,-1.4914692349565621,0.06531750660280525,7.936610007050108,225.2699816958235,1.2112812804187311e-49,2.60875823458388e-47,AT4G13510,AMT1;1;ATAMT1;ATAMT1;1,ammonium transporter 1;1;ARABIDOPSIS THALIANA AMMONIUM TRANSPORT 1;NA
AT5G52640.1,-4.8906081113705335,4.532855333427937,8.590137512037773,221.08537572527752,9.815685762093034e-49,2.087262090093682e-46,AT5G52640,ATHS83;AtHsp90-1;ATHSP90.1;HSP81-1;HSP81.1;HSP83;HSP90.1,NA;HEAT SHOCK PROTEIN 90-1;heat shock protein 90.1;HEAT SHOCK PROTEIN 81-1;NA;HEAT SHOCK PROTEIN 83;heat shock protein 90.1
AT3G13310.1,-1.0409326080128223,-0.1057559462500081,5.112441131864455,219.8043870798006,1.8624464586296633e-48,3.9109047573149645e-46,AT3G13310,DJC66,DNA J protein C66
AT1G12805.1,-2.906154437924687,-0.49675356063431964,3.6317637553210584,218.70635520233557,3.22491586826062e-48,6.68831625566792e-46,AT1G12805,NA,NA
AT1G09932.1,-1.9868676983489255,1.2077318109816597,4.599999642013888,217.94538453782252,4.718034034913488e-48,9.665640701525816e-46,AT1G09932,NA,NA
AT2G43010.1,2.3509744742669185,-1.339294720308493,5.469235560451896,216.90119689021057,7.952497407228917e-48,1.6095663125787782e-45,AT2G43010,AtPIF4;PIF4;SRL2,NA;phytochrome interacting factor 4;NA
AT4G23140.2,-4.335811746625463,1.5817491385885674,4.881259327028682,214.91234383383477,2.149698186261922e-47,4.299140456073099e-45,AT4G23140,CRK6,cysteine-rich RLK (RECEPTOR-like protein kinase) 6
AT3G12580.1,-4.893106760047324,4.041675336890144,8.412756490977966,213.6586785992161,4.02353178781969e-47,7.951918882774468e-45,AT3G12580,ATHSP70;HSC70-4;HSP70,ARABIDOPSIS HEAT SHOCK PROTEIN 70;NA;heat shock protein 70
AT1G74310.1,-4.600269146329611,4.40487508609749,7.225995726202395,213.20943178238545,5.036863059753327e-47,9.838867737301878e-45,AT1G74310,ATHSP101;HOT1;HSP101,heat shock protein 101;NA;heat shock protein 101
AT1G71000.1,-4.530531049445437,6.213959740933671,1.3538590565705642,211.96224621344905,9.39686632481714e-47,1.8144592803517604e-44,AT1G71000,NA,NA
AT2G40100.1,-2.0886523115779507,0.2841140334493575,4.350808055400027,210.5969691685554,1.8597269826844986e-46,3.550176543422374e-44,AT2G40100,LHCB4.3,light harvesting complex photosystem II
AT3G47720.1,-2.862001946357791,-1.361697221730889,1.8071596203403701,210.18043822881813,2.2903282852981195e-46,4.3230589735643947e-44,AT3G47720,SRO4,similar to RCD one 4
AT5G39890.1,-2.135763658983023,-1.0662839101681383,4.265988931401462,210.0113323743358,2.4924049570651844e-46,4.652212319304226e-44,AT5G39890,PCO2,plant cysteine oxidase 2
AT2G17850.1,-2.880577118292639,-0.5946482007450222,3.06001358828477,205.1011537905429,2.903022075709725e-45,5.3591063571261175e-43,AT2G17850,NA,NA
AT5G67030.1,1.56835467598955,-0.671102023514161,6.229500146123463,198.72393160267282,7.041197748308529e-44,1.2857074018895108e-41,AT5G67030,ABA1;ATABA1;ATZEP;IBS3;LOS6;NPQ2;ZEP,ABA DEFICIENT 1;ARABIDOPSIS THALIANA ABA DEFICIENT 1;ARABIDOPSIS THALIANA ZEAXANTHIN EPOXIDASE;IMPAIRED IN BABA-INDUCED STERILITY 3;LOW EXPRESSION OF OSMOTIC STRESS-RESPONSIVE GENES 6;NON-PHOTOCHEMICAL QUENCHING 2;ZEAXANTHIN EPOXIDASE
AT3G46230.1,-5.330457804543731,5.185719524616315,1.4597961372044463,197.65198394939938,1.2034194233217567e-43,2.1737895583206655e-41,AT3G46230,ATHSP17.4;HSP17.4,ARABIDOPSIS THALIANA HEAT SHOCK PROTEIN 17.4;heat shock protein 17.4
AT5G46490.2,-1.1985799529796153,0.28340369145745337,4.770856612644259,196.42135098632826,2.2266172501323304e-43,3.9792492749971294e-41,AT5G46490,NA,NA
AT1G36180.1,1.7125419626963052,-0.2783869186665851,4.375892221101667,194.41950990534843,6.058147413922702e-43,1.0712717726998682e-40,AT1G36180,ACC2,acetyl-CoA carboxylase 2
AT5G24210.1,-2.8511725956569856,0.8160557557432981,6.671714205503475,194.2939404309906,6.4507008463179764e-43,1.1288054533051634e-40,AT5G24210,NA,NA
AT3G52430.1,-1.9440312275927525,1.461278777101737,4.826863059536094,192.82126827620024,1.3470806476026261e-42,2.3329492576367544e-40,AT3G52430,ATPAD4;PAD4,ARABIDOPSIS PHYTOALEXIN DEFICIENT 4;PHYTOALEXIN DEFICIENT 4
AT5G63810.1,1.3719604632867672,-0.8650212553605134,6.163988223308037,192.48044961777904,1.59735493695809e-42,2.7381597536692806e-40,AT5G63810,AtBGAL10;BGAL10,Arabidopsis thaliana beta-galactosidase 10;beta-galactosidase 10
AT5G45070.1,-2.060061933878055,1.7371493101864837,4.416301776814894,192.36172681331317,1.6950470509052834e-42,2.876272263450288e-40,AT5G45070,AtPP2-A8;PP2-A8,phloem protein 2-A8;phloem protein 2-A8
AT5G48570.1,-5.235566033169434,4.893722421312495,6.804356564762933,189.51825415843402,7.024800572305286e-42,1.180096248141565e-39,AT5G48570,ATFKBP65;FKBP65;ROF2,NA;NA;NA
AT4G27310.1,2.555808508965505,-0.7314276434585024,2.2610094707636796,188.03429382670097,1.4752712916258686e-41,2.4537705374280162e-39,AT4G27310,BBX28,B-box domain protein 28
AT2G26400.1,-5.51675316634329,2.5799455879724937,3.3124185529764913,187.776155997596,1.6785172492273236e-41,2.7644520852715498e-39,AT2G26400,ARD;ARD3;ATARD3,ACIREDUCTONE DIOXYGENASE;acireductone dioxygenase 3;acireductone dioxygenase 3
AT2G27550.1,-1.5449619731765623,0.13564766441417195,3.8422818456524306,187.18077124098454,2.2605388007102926e-41,3.686872943022544e-39,AT2G27550,ATC,centroradialis
AT3G11010.1,-2.8938880918961813,2.131778075992324,6.228646079461626,187.0282571678748,2.439663765581436e-41,3.940760730577168e-39,AT3G11010,AtRLP34;RLP34,receptor like protein 34;receptor like protein 34
AT2G42220.1,1.7200691250938238,-0.7427677286114965,7.24673235964357,186.29278749561038,3.5239942096384177e-41,5.6380551169253125e-39,AT2G42220,NA,NA
AT1G19960.1,-3.2957969171557684,1.1786180168383407,3.656923536121856,185.6224876025061,4.927072565099628e-41,7.808480379349873e-39,AT1G19960,NA,NA
AT3G25882.1,-4.135912664224964,3.7131595970181057,3.887440565760711,184.4851851220478,8.700637090147024e-41,1.3660000231530828e-38,AT3G25882,NIMIN-2,NIM1-interacting 2
AT5G35970.1,1.5486867472769748,-0.18878963190494177,4.923746352234223,183.870305152674,1.1832337347083738e-40,1.8404762508672197e-38,AT5G35970,NA,NA
AT4G10500.1,-3.3210225221463956,2.9880636737042154,3.869939993905049,183.27038397596993,1.5971355312334245e-40,2.4614935586413116e-38,AT4G10500,DLO1,DMR6-LIKE OXYGENASE 1
AT1G34750.1,-1.5506752811982634,1.0848399228885093,5.220985988744221,183.04023381215933,1.791918464294915e-40,2.73658529833548e-38,AT1G34750,CIPP1,CERK-1 interacting protein phosphatase 1
AT4G27450.1,-1.4220010694026766,-0.9216408122902966,7.276829053288086,182.9083839953715,1.914031445451033e-40,2.896740022714586e-38,AT4G27450,NA,NA
AT1G72930.1,-1.1488520781757137,-0.954459306221031,6.4806506186204755,180.96773591880023,5.0507450161758945e-40,7.575666564887396e-38,AT1G72930,AtTN10;TIR;TN10,NA;toll/interleukin-1 receptor-like;TIR-nucleotide binding site family 10
AT2G31880.1,-1.5305487099741966,0.023100772225336016,7.527893204799822,180.66178431797942,5.885616898383461e-40,8.749776838579094e-38,AT2G31880,EVR;SOBIR1,EVERSHED;SUPPRESSOR OF BIR1 1
AT4G33070.1,-2.5261594890711407,-0.40474692553580394,6.913812444207463,180.3397858808795,6.9137402999832315e-40,1.0188063447317394e-37,AT4G33070,AtPDC1;PDC1,NA;pyruvate decarboxylase 1
AT2G29650.1,1.8262613662867564,-0.808340769044085,5.262919227839412,178.52268231382382,1.7151104310983633e-39,2.5054034897409917e-37,AT2G29650,ANTR1;PHT4;1,anion transporter 1;phosphate transporter 4;1
AT5G54710.1,-1.2508209480345025,-0.7606991100513658,6.9298258237010515,178.50353963167075,1.731605150386439e-39,2.5076926656329123e-37,AT5G54710,NA,NA
AT2G25510.1,-2.0537326896527364,0.278306269280768,8.65788065448733,178.262062680859,1.9538216718682503e-39,2.8053205355311745e-37,AT2G25510,NA,NA
AT3G09350.1,-3.643497383338197,3.819636929711043,6.274420041782219,177.29268986746487,3.172353346420557e-39,4.51630202258635e-37,AT3G09350,Fes1A,Fes1A
AT1G67105.1,-2.629586962424924,-0.15054606394745504,4.110623417036441,172.5512263441266,3.396075029544307e-38,4.794173480782758e-36,AT1G67105,NA,NA
AT3G56940.1,1.5243419194111196,-0.714050317345321,8.994634961485845,172.05927976003272,4.343122909528141e-38,6.080010146430271e-36,AT3G56940,ACSF;CHL27;CRD1,NA;NA;COPPER RESPONSE DEFECT 1
AT1G71030.1,2.9220772012155622,-2.5884403389142165,4.765169184194803,171.61652289798096,5.419329421264261e-38,7.523910326265977e-36,AT1G71030,ATMYBL2;MYBL2,ARABIDOPSIS MYB-LIKE 2;MYB-like 2
AT4G27440.1,1.7906210013090829,-1.1773343690574911,8.783394699917848,171.59497362065622,5.478036443089986e-38,7.543076574382679e-36,AT4G27440,PORB,protochlorophyllide oxidoreductase B
AT5G06980.4,2.5479932352969548,-0.5443512715464494,2.100052403868834,171.44250470845307,5.911982239795159e-38,8.074421922464948e-36,AT5G06980,LNK4,night light-inducible and clock-regulated 4
AT2G15890.1,1.8659623574264774,-3.018973639905976,7.76721415701539,171.35479406424082,6.177023379615929e-38,8.368372238239353e-36,AT2G15890,CBP1;MEE14,CCG-BINDING PROTEIN 1;maternal effect embryo arrest 14
AT4G26070.2,-1.4143105842473964,0.11256564329547838,5.6023971638324666,170.75503498183048,8.337105075458241e-38,1.1204402253009839e-35,AT4G26070,ATMEK1;MEK1;MKK1;NMAPKK,NA;MAP kinase/ ERK kinase 1;MITOGEN ACTIVATED PROTEIN KINASE KINASE 1;NA
AT3G24500.1,-4.148548124708988,3.9188800354252398,5.684370914464805,167.79099268981253,3.6698547949441246e-37,4.892848468275108e-35,AT3G24500,ATMBF1C;MBF1C,NA;multiprotein bridging factor 1C
AT5G52760.1,-4.5178414010871855,2.2066683093492894,2.794066216001779,167.3581500874493,4.556584806827394e-37,6.02724946219633e-35,AT5G52760,NA,NA
AT2G01170.1,-1.1648628644654329,-0.24516675630403614,4.8295087537099874,167.0575700733297,5.2955317774018915e-37,6.949971744419873e-35,AT2G01170,AtGABP;BAT1;GABP,NA;bidirectional amino acid transporter 1;GABA permease
AT3G29240.1,-2.2324460301802076,1.088493689630417,6.883984448778484,166.7290198368274,6.2409881197315935e-37,8.127314683982251e-35,AT3G29240,NA,NA
AT2G15090.1,1.6000584743782003,-2.3175958439329825,6.942767916536047,165.49551422609753,1.1563936439537111e-36,1.4943274480598763e-34,AT2G15090,KCS8,3-ketoacyl-CoA synthase 8
AT5G62520.1,-1.5473755777575944,-0.6836243705916809,2.8632377889669254,164.94790918963326,1.520605716184594e-36,1.9499736966553428e-34,AT5G62520,SRO5,similar to RCD one 5
AT1G33055.1,-1.6109904273917195,-1.6586618248427623,3.717554533931354,164.84849481274983,1.5981008274992732e-36,2.03382543948184e-34,AT1G33055,NA,NA
